"SDG","SDG target","SDG indicator","Indicator Code","Indicator name","Geographical area code","Geographical area name","Year","Value","Time detail","Source","Footnote","Type of data","Units","Age group","Bounds","Frequency","Level/Status","Location","Type of reporting","Sex","SDG 6 Data portal level"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2014","2564.74643","2014","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2014","2729.64531","2014","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2015","2503.1356","2015","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2015","2657.64781","2015","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2016","2893.86515","2016","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2016","3071.05174","2016","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2017","2637.66626","2017","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2017","2797.8809","2017","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2018","2981.97292","2018","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","C","Constant USD","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
"6","6.a","6.a.1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation,by recipient countries (millions of constant 2017 United States dollars)","Sub-Region","Sub-Saharan Africa","2018","3169.04834","2018","The Organisation for Economic Co-operation and Development (OECD).","Gross disbursements, Based on OECD, CRS databased, 2023, Constant 2021 USD million","N","US$ millions","","","","","","","","6.a.1 Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan > Amount of water- and sanitation-related official development assistance received"
